chapter,verse,arabic_original,arabic_clean,arabic_normalized,tokens
2,13,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُۗ أَلَآ إِنَّهُمۡ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعۡلَمُونَ,واذا قيل لهم ءامنوا كما ءامن الناس قالوا انومن كما ءامن السفهاء الا انهم هم السفهاء ولكن لا يعلمون,واذا قيل لهم ءامنوا كما ءامن الناس قالوا انومن كما ءامن السفهاء الا انهم هم السفهاء ولكن لا يعلمون,واذا قيل لهم ءامنوا كما ءامن الناس قالوا انومن كما ءامن السفهاء الا انهم هم السفهاء ولكن لا يعلمون
2,14,وَإِذَا لَقُواْ ٱلَّذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّا وَإِذَا خَلَوۡاْ إِلَىٰ شَيَٰطِينِهِمۡ قَالُوٓاْ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلوا الي شيطينهم قالوا انا معكم انما نحن مستهزءون,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلوا الي شيطينهم قالوا انا معكم انما نحن مستهزءون,واذا لقوا الذين ءامنوا قالوا ءامنا واذا خلوا الي شيطينهم قالوا انا معكم انما نحن مستهزءون
2,15,ٱللَّهُ يَسۡتَهۡزِئُ بِهِمۡ وَيَمُدُّهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,الله يستهزي بهم ويمدهم في طغينهم يعمهون,الله يستهزي بهم ويمدهم في طغينهم يعمهون,الله يستهزي بهم ويمدهم في طغينهم يعمهون
2,16,أُوْلَـٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمۡ وَمَا كَانُواْ مُهۡتَدِينَ,اوليك الذين اشتروا الضللة بالهدي فما ربحت تجرتهم وما كانوا مهتدين,اوليك الذين اشتروا الضللة بالهدي فما ربحت تجرتهم وما كانوا مهتدين,اوليك الذين اشتروا الضللة بالهدي فما ربحت تجرتهم وما كانوا مهتدين
2,17,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِي ظُلُمَٰتٖ لَّا يُبۡصِرُونَ,مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمت لا يبصرون,مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمت لا يبصرون,مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمت لا يبصرون
2,18,صُمُّۢ بُكۡمٌ عُمۡيٞ فَهُمۡ لَا يَرۡجِعُونَ,صم بكم عمي فهم لا يرجعون,صم بكم عمي فهم لا يرجعون,صم بكم عمي فهم لا يرجعون
2,19,أَوۡ كَصَيِّبٖ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعۡدٞ وَبَرۡقٞ يَجۡعَلُونَ أَصَٰبِعَهُمۡ فِيٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلۡمَوۡتِۚ وَٱللَّهُ مُحِيطُۢ بِٱلۡكَٰفِرِينَ,او كصيب من السماء فيه ظلمت ورعد وبرق يجعلون اصبعهم في ءاذانهم من الصوعق حذر الموت والله محيط بالكفرين,او كصيب من السماء فيه ظلمت ورعد وبرق يجعلون اصبعهم في ءاذانهم من الصوعق حذر الموت والله محيط بالكفرين,او كصيب من السماء فيه ظلمت ورعد وبرق يجعلون اصبعهم في ءاذانهم من الصوعق حذر الموت والله محيط بالكفرين
2,20,يَكَادُ ٱلۡبَرۡقُ يَخۡطَفُ أَبۡصَٰرَهُمۡۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوۡاْ فِيهِ وَإِذَآ أَظۡلَمَ عَلَيۡهِمۡ قَامُواْۚ وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَٰرِهِمۡۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,يكاد البرق يخطف ابصرهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصرهم ان الله علي كل شيء قدير,يكاد البرق يخطف ابصرهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصرهم ان الله علي كل شيء قدير,يكاد البرق يخطف ابصرهم كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وابصرهم ان الله علي كل شيء قدير
2,21,يَـٰٓأَيُّهَا ٱلنَّاسُ ٱعۡبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمۡ وَٱلَّذِينَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ,يايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,يايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,يايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
2,22,ٱلَّذِي جَعَلَ لَكُمُ ٱلۡأَرۡضَ فِرَٰشٗا وَٱلسَّمَآءَ بِنَآءٗ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءٗ فَأَخۡرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزۡقٗا لَّكُمۡۖ فَلَا تَجۡعَلُواْ لِلَّهِ أَندَادٗا وَأَنتُمۡ تَعۡلَمُونَ,الذي جعل لكم الارض فرشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرت رزقا لكم فلا تجعلوا لله اندادا وانتم تعلمون,الذي جعل لكم الارض فرشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرت رزقا لكم فلا تجعلوا لله اندادا وانتم تعلمون,الذي جعل لكم الارض فرشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرت رزقا لكم فلا تجعلوا لله اندادا وانتم تعلمون
2,23,وَإِن كُنتُمۡ فِي رَيۡبٖ مِّمَّا نَزَّلۡنَا عَلَىٰ عَبۡدِنَا فَأۡتُواْ بِسُورَةٖ مِّن مِّثۡلِهِۦ وَٱدۡعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمۡ صَٰدِقِينَ,وان كنتم في ريب مما نزلنا علي عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صدقين,وان كنتم في ريب مما نزلنا علي عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صدقين,وان كنتم في ريب مما نزلنا علي عبدنا فاتوا بسورة من مثله وادعوا شهداءكم من دون الله ان كنتم صدقين
2,24,فَإِن لَّمۡ تَفۡعَلُواْ وَلَن تَفۡعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلۡحِجَارَةُۖ أُعِدَّتۡ لِلۡكَٰفِرِينَ,فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة اعدت للكفرين,فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة اعدت للكفرين,فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة اعدت للكفرين
2,25,وَبَشِّرِ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّـٰلِحَٰتِ أَنَّ لَهُمۡ جَنَّـٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۖ كُلَّمَا رُزِقُواْ مِنۡهَا مِن ثَمَرَةٖ رِّزۡقٗا قَالُواْ هَٰذَا ٱلَّذِي رُزِقۡنَا مِن قَبۡلُۖ وَأُتُواْ بِهِۦ مُتَشَٰبِهٗاۖ وَلَهُمۡ فِيهَآ أَزۡوَٰجٞ مُّطَهَّرَةٞۖ وَهُمۡ فِيهَا خَٰلِدُونَ,وبشر الذين ءامنوا وعملوا الصلحت ان لهم جنت تجري من تحتها الانهر كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل واتوا به متشبها ولهم فيها ازوج مطهرة وهم فيها خلدون,وبشر الذين ءامنوا وعملوا الصلحت ان لهم جنت تجري من تحتها الانهر كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل واتوا به متشبها ولهم فيها ازوج مطهرة وهم فيها خلدون,وبشر الذين ءامنوا وعملوا الصلحت ان لهم جنت تجري من تحتها الانهر كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل واتوا به متشبها ولهم فيها ازوج مطهرة وهم فيها خلدون
2,26,۞إِنَّ ٱللَّهَ لَا يَسۡتَحۡيِۦٓ أَن يَضۡرِبَ مَثَلٗا مَّا بَعُوضَةٗ فَمَا فَوۡقَهَاۚ فَأَمَّا ٱلَّذِينَ ءَامَنُواْ فَيَعۡلَمُونَ أَنَّهُ ٱلۡحَقُّ مِن رَّبِّهِمۡۖ وَأَمَّا ٱلَّذِينَ كَفَرُواْ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلٗاۘ يُضِلُّ بِهِۦ كَثِيرٗا وَيَهۡدِي بِهِۦ كَثِيرٗاۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلۡفَٰسِقِينَ,ان الله لا يستحي ان يضرب مثلا ما بعوضة فما فوقها فاما الذين ءامنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفسقين,ان الله لا يستحي ان يضرب مثلا ما بعوضة فما فوقها فاما الذين ءامنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفسقين,ان الله لا يستحي ان يضرب مثلا ما بعوضة فما فوقها فاما الذين ءامنوا فيعلمون انه الحق من ربهم واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به الا الفسقين
2,27,ٱلَّذِينَ يَنقُضُونَ عَهۡدَ ٱللَّهِ مِنۢ بَعۡدِ مِيثَٰقِهِۦ وَيَقۡطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفۡسِدُونَ فِي ٱلۡأَرۡضِۚ أُوْلَـٰٓئِكَ هُمُ ٱلۡخَٰسِرُونَ,الذين ينقضون عهد الله من بعد ميثقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض اوليك هم الخسرون,الذين ينقضون عهد الله من بعد ميثقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض اوليك هم الخسرون,الذين ينقضون عهد الله من بعد ميثقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض اوليك هم الخسرون
2,28,كَيۡفَ تَكۡفُرُونَ بِٱللَّهِ وَكُنتُمۡ أَمۡوَٰتٗا فَأَحۡيَٰكُمۡۖ ثُمَّ يُمِيتُكُمۡ ثُمَّ يُحۡيِيكُمۡ ثُمَّ إِلَيۡهِ تُرۡجَعُونَ,كيف تكفرون بالله وكنتم اموتا فاحيكم ثم يميتكم ثم يحييكم ثم اليه ترجعون,كيف تكفرون بالله وكنتم اموتا فاحيكم ثم يميتكم ثم يحييكم ثم اليه ترجعون,كيف تكفرون بالله وكنتم اموتا فاحيكم ثم يميتكم ثم يحييكم ثم اليه ترجعون
2,29,هُوَ ٱلَّذِي خَلَقَ لَكُم مَّا فِي ٱلۡأَرۡضِ جَمِيعٗا ثُمَّ ٱسۡتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّىٰهُنَّ سَبۡعَ سَمَٰوَٰتٖۚ وَهُوَ بِكُلِّ شَيۡءٍ عَلِيمٞ,هو الذي خلق لكم ما في الارض جميعا ثم استوي الي السماء فسويهن سبع سموت وهو بكل شيء عليم,هو الذي خلق لكم ما في الارض جميعا ثم استوي الي السماء فسويهن سبع سموت وهو بكل شيء عليم,هو الذي خلق لكم ما في الارض جميعا ثم استوي الي السماء فسويهن سبع سموت وهو بكل شيء عليم
2,30,وَإِذۡ قَالَ رَبُّكَ لِلۡمَلَـٰٓئِكَةِ إِنِّي جَاعِلٞ فِي ٱلۡأَرۡضِ خَلِيفَةٗۖ قَالُوٓاْ أَتَجۡعَلُ فِيهَا مَن يُفۡسِدُ فِيهَا وَيَسۡفِكُ ٱلدِّمَآءَ وَنَحۡنُ نُسَبِّحُ بِحَمۡدِكَ وَنُقَدِّسُ لَكَۖ قَالَ إِنِّيٓ أَعۡلَمُ مَا لَا تَعۡلَمُونَ,واذ قال ربك للمليكة اني جاعل في الارض خليفة قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال اني اعلم ما لا تعلمون,واذ قال ربك للمليكة اني جاعل في الارض خليفة قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال اني اعلم ما لا تعلمون,واذ قال ربك للمليكة اني جاعل في الارض خليفة قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال اني اعلم ما لا تعلمون
2,31,وَعَلَّمَ ءَادَمَ ٱلۡأَسۡمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمۡ عَلَى ٱلۡمَلَـٰٓئِكَةِ فَقَالَ أَنۢبِـُٔونِي بِأَسۡمَآءِ هَـٰٓؤُلَآءِ إِن كُنتُمۡ صَٰدِقِينَ,وعلم ءادم الاسماء كلها ثم عرضهم علي المليكة فقال انبوني باسماء هولاء ان كنتم صدقين,وعلم ءادم الاسماء كلها ثم عرضهم علي المليكة فقال انبوني باسماء هولاء ان كنتم صدقين,وعلم ءادم الاسماء كلها ثم عرضهم علي المليكة فقال انبوني باسماء هولاء ان كنتم صدقين
2,32,قَالُواْ سُبۡحَٰنَكَ لَا عِلۡمَ لَنَآ إِلَّا مَا عَلَّمۡتَنَآۖ إِنَّكَ أَنتَ ٱلۡعَلِيمُ ٱلۡحَكِيمُ,قالوا سبحنك لا علم لنا الا ما علمتنا انك انت العليم الحكيم,قالوا سبحنك لا علم لنا الا ما علمتنا انك انت العليم الحكيم,قالوا سبحنك لا علم لنا الا ما علمتنا انك انت العليم الحكيم
2,33,قَالَ يَـٰٓـَٔادَمُ أَنۢبِئۡهُم بِأَسۡمَآئِهِمۡۖ فَلَمَّآ أَنۢبَأَهُم بِأَسۡمَآئِهِمۡ قَالَ أَلَمۡ أَقُل لَّكُمۡ إِنِّيٓ أَعۡلَمُ غَيۡبَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَأَعۡلَمُ مَا تُبۡدُونَ وَمَا كُنتُمۡ تَكۡتُمُونَ,قال يادم انبيهم باسمايهم فلما انباهم باسمايهم قال الم اقل لكم اني اعلم غيب السموت والارض واعلم ما تبدون وما كنتم تكتمون,قال يادم انبيهم باسمايهم فلما انباهم باسمايهم قال الم اقل لكم اني اعلم غيب السموت والارض واعلم ما تبدون وما كنتم تكتمون,قال يادم انبيهم باسمايهم فلما انباهم باسمايهم قال الم اقل لكم اني اعلم غيب السموت والارض واعلم ما تبدون وما كنتم تكتمون
2,34,وَإِذۡ قُلۡنَا لِلۡمَلَـٰٓئِكَةِ ٱسۡجُدُواْ لِأٓدَمَ فَسَجَدُوٓاْ إِلَّآ إِبۡلِيسَ أَبَىٰ وَٱسۡتَكۡبَرَ وَكَانَ مِنَ ٱلۡكَٰفِرِينَ,واذ قلنا للمليكة اسجدوا لادم فسجدوا الا ابليس ابي واستكبر وكان من الكفرين,واذ قلنا للمليكة اسجدوا لادم فسجدوا الا ابليس ابي واستكبر وكان من الكفرين,واذ قلنا للمليكة اسجدوا لادم فسجدوا الا ابليس ابي واستكبر وكان من الكفرين
2,35,وَقُلۡنَا يَـٰٓـَٔادَمُ ٱسۡكُنۡ أَنتَ وَزَوۡجُكَ ٱلۡجَنَّةَ وَكُلَا مِنۡهَا رَغَدًا حَيۡثُ شِئۡتُمَا وَلَا تَقۡرَبَا هَٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلظَّـٰلِمِينَ,وقلنا يادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شيتما ولا تقربا هذه الشجرة فتكونا من الظلمين,وقلنا يادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شيتما ولا تقربا هذه الشجرة فتكونا من الظلمين,وقلنا يادم اسكن انت وزوجك الجنة وكلا منها رغدا حيث شيتما ولا تقربا هذه الشجرة فتكونا من الظلمين
2,36,فَأَزَلَّهُمَا ٱلشَّيۡطَٰنُ عَنۡهَا فَأَخۡرَجَهُمَا مِمَّا كَانَا فِيهِۖ وَقُلۡنَا ٱهۡبِطُواْ بَعۡضُكُمۡ لِبَعۡضٍ عَدُوّٞۖ وَلَكُمۡ فِي ٱلۡأَرۡضِ مُسۡتَقَرّٞ وَمَتَٰعٌ إِلَىٰ حِينٖ,فازلهما الشيطن عنها فاخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الارض مستقر ومتع الي حين,فازلهما الشيطن عنها فاخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الارض مستقر ومتع الي حين,فازلهما الشيطن عنها فاخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الارض مستقر ومتع الي حين
2,37,فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٖ فَتَابَ عَلَيۡهِۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,فتلقي ءادم من ربه كلمت فتاب عليه انه هو التواب الرحيم,فتلقي ءادم من ربه كلمت فتاب عليه انه هو التواب الرحيم,فتلقي ءادم من ربه كلمت فتاب عليه انه هو التواب الرحيم
2,38,قُلۡنَا ٱهۡبِطُواْ مِنۡهَا جَمِيعٗاۖ فَإِمَّا يَأۡتِيَنَّكُم مِّنِّي هُدٗى فَمَن تَبِعَ هُدَايَ فَلَا خَوۡفٌ عَلَيۡهِمۡ وَلَا هُمۡ يَحۡزَنُونَ,قلنا اهبطوا منها جميعا فاما ياتينكم مني هدي فمن تبع هداي فلا خوف عليهم ولا هم يحزنون,قلنا اهبطوا منها جميعا فاما ياتينكم مني هدي فمن تبع هداي فلا خوف عليهم ولا هم يحزنون,قلنا اهبطوا منها جميعا فاما ياتينكم مني هدي فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
2,39,وَٱلَّذِينَ كَفَرُواْ وَكَذَّبُواْ بِـَٔايَٰتِنَآ أُوْلَـٰٓئِكَ أَصۡحَٰبُ ٱلنَّارِۖ هُمۡ فِيهَا خَٰلِدُونَ,والذين كفروا وكذبوا بايتنا اوليك اصحب النار هم فيها خلدون,والذين كفروا وكذبوا بايتنا اوليك اصحب النار هم فيها خلدون,والذين كفروا وكذبوا بايتنا اوليك اصحب النار هم فيها خلدون
2,40,يَٰبَنِيٓ إِسۡرَـٰٓءِيلَ ٱذۡكُرُواْ نِعۡمَتِيَ ٱلَّتِيٓ أَنۡعَمۡتُ عَلَيۡكُمۡ وَأَوۡفُواْ بِعَهۡدِيٓ أُوفِ بِعَهۡدِكُمۡ وَإِيَّـٰيَ فَٱرۡهَبُونِ,يبني اسرءيل اذكروا نعمتي التي انعمت عليكم واوفوا بعهدي اوف بعهدكم وايي فارهبون,يبني اسرءيل اذكروا نعمتي التي انعمت عليكم واوفوا بعهدي اوف بعهدكم وايي فارهبون,يبني اسرءيل اذكروا نعمتي التي انعمت عليكم واوفوا بعهدي اوف بعهدكم وايي فارهبون
2,41,وَءَامِنُواْ بِمَآ أَنزَلۡتُ مُصَدِّقٗا لِّمَا مَعَكُمۡ وَلَا تَكُونُوٓاْ أَوَّلَ كَافِرِۭ بِهِۦۖ وَلَا تَشۡتَرُواْ بِـَٔايَٰتِي ثَمَنٗا قَلِيلٗا وَإِيَّـٰيَ فَٱتَّقُونِ,وءامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ولا تشتروا بايتي ثمنا قليلا وايي فاتقون,وءامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ولا تشتروا بايتي ثمنا قليلا وايي فاتقون,وءامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ولا تشتروا بايتي ثمنا قليلا وايي فاتقون
2,42,وَلَا تَلۡبِسُواْ ٱلۡحَقَّ بِٱلۡبَٰطِلِ وَتَكۡتُمُواْ ٱلۡحَقَّ وَأَنتُمۡ تَعۡلَمُونَ,ولا تلبسوا الحق بالبطل وتكتموا الحق وانتم تعلمون,ولا تلبسوا الحق بالبطل وتكتموا الحق وانتم تعلمون,ولا تلبسوا الحق بالبطل وتكتموا الحق وانتم تعلمون
